team,team_slug,league,football_season,season_type,season_type_name,event_id,event_name,short_name,game_datetime_utc,game_datetime_pacific,game_date_pacific,kickoff_time_pacific,time_valid,week,home_away,opponent_id,opponent,opponent_abbreviation,team_score,opponent_score,result,completed,status,neutral_site,venue,venue_city,venue_state,broadcasts,notes,source_url
Oregon Ducks,oregon,college-football,2022,2,Regular Season,401403989,BYU Cougars at Oregon Ducks,BYU @ ORE,2022-09-17T19:30:00+00:00,2022-09-17T12:30:00-07:00,2022-09-17,12:30,True,3,home,252,BYU Cougars,BYU,41,20,W,True,Final,False,Autzen Stadium,Eugene,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2022&seasontype=2
Oregon State Beavers,oregon-state,college-football,2022,2,Regular Season,401403990,Montana State Bobcats at Oregon State Beavers,MTST VS ORST,2022-09-18T00:00:00+00:00,2022-09-17T17:00:00-07:00,2022-09-17,17:00,True,3,home,147,Montana State Bobcats,MTST,68,28,W,True,Final,True,Providence Park,Portland,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2022&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2022,2,Regular Season,401437605,Seattle Seahawks at San Francisco 49ers,SEA @ SF,2022-09-18T20:05:00+00:00,2022-09-18T13:05:00-07:00,2022-09-18,13:05,True,2,away,25,San Francisco 49ers,SF,7,27,L,True,Final,False,Levi's Stadium,Santa Clara,CA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2022&seasontype=2
Oregon Ducks,oregon,college-football,2022,2,Regular Season,401403999,Oregon Ducks at Washington State Cougars,ORE @ WSU,2022-09-24T20:00:00+00:00,2022-09-24T13:00:00-07:00,2022-09-24,13:00,True,4,away,265,Washington State Cougars,WSU,44,41,W,True,Final,False,Martin Stadium,Pullman,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2022&seasontype=2
Oregon State Beavers,oregon-state,college-football,2022,2,Regular Season,401404000,USC Trojans at Oregon State Beavers,USC @ ORST,2022-09-25T01:30:00+00:00,2022-09-24T18:30:00-07:00,2022-09-24,18:30,True,4,home,30,USC Trojans,USC,14,17,L,True,Final,False,Reser Stadium,Corvallis,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2022&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2022,2,Regular Season,401437745,Atlanta Falcons at Seattle Seahawks,ATL @ SEA,2022-09-25T20:25:00+00:00,2022-09-25T13:25:00-07:00,2022-09-25,13:25,True,3,home,1,Atlanta Falcons,ATL,23,27,L,True,Final,False,Lumen Field,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2022&seasontype=2
Oregon State Beavers,oregon-state,college-football,2022,2,Regular Season,401404006,Oregon State Beavers at Utah Utes,ORST @ UTAH,2022-10-01T18:00:00+00:00,2022-10-01T11:00:00-07:00,2022-10-01,11:00,True,5,away,254,Utah Utes,UTAH,16,42,L,True,Final,False,Rice-Eccles Stadium,Salt Lake City,UT,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2022&seasontype=2
Oregon Ducks,oregon,college-football,2022,2,Regular Season,401404005,Stanford Cardinal at Oregon Ducks,STAN @ ORE,2022-10-02T03:00:00+00:00,2022-10-01T20:00:00-07:00,2022-10-01,20:00,True,5,home,24,Stanford Cardinal,STAN,45,27,W,True,Final,False,Autzen Stadium,Eugene,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2022&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2022,2,Regular Season,401437752,Seattle Seahawks at Detroit Lions,SEA @ DET,2022-10-02T17:00:00+00:00,2022-10-02T10:00:00-07:00,2022-10-02,10:00,True,4,away,8,Detroit Lions,DET,48,45,W,True,Final,False,Ford Field,Detroit,MI,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2022&seasontype=2
Oregon Ducks,oregon,college-football,2022,2,Regular Season,401404008,Oregon Ducks at Arizona Wildcats,ORE @ ARIZ,2022-10-09T01:00:00+00:00,2022-10-08T18:00:00-07:00,2022-10-08,18:00,True,6,away,12,Arizona Wildcats,ARIZ,49,22,W,True,Final,False,Casino Del Sol Stadium,Tucson,AZ,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2022&seasontype=2
Oregon State Beavers,oregon-state,college-football,2022,2,Regular Season,401404010,Oregon State Beavers at Stanford Cardinal,ORST @ STAN,2022-10-09T03:00:00+00:00,2022-10-08T20:00:00-07:00,2022-10-08,20:00,True,6,away,24,Stanford Cardinal,STAN,28,27,W,True,Final,False,Stanford Stadium,Stanford,CA,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2022&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2022,2,Regular Season,401437768,Seattle Seahawks at New Orleans Saints,SEA @ NO,2022-10-09T17:00:00+00:00,2022-10-09T10:00:00-07:00,2022-10-09,10:00,True,5,away,18,New Orleans Saints,NO,32,39,L,True,Final,False,Caesars Superdome,New Orleans,LA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2022&seasontype=2
Oregon State Beavers,oregon-state,college-football,2022,2,Regular Season,401404015,Washington State Cougars at Oregon State Beavers,WSU @ ORST,2022-10-16T01:00:00+00:00,2022-10-15T18:00:00-07:00,2022-10-15,18:00,True,7,home,265,Washington State Cougars,WSU,24,10,W,True,Final,False,Reser Stadium,Corvallis,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2022&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2022,2,Regular Season,401437787,Arizona Cardinals at Seattle Seahawks,ARI @ SEA,2022-10-16T20:05:00+00:00,2022-10-16T13:05:00-07:00,2022-10-16,13:05,True,6,home,22,Arizona Cardinals,ARI,19,9,W,True,Final,False,Lumen Field,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2022&seasontype=2
Oregon Ducks,oregon,college-football,2022,2,Regular Season,401404021,UCLA Bruins at Oregon Ducks,UCLA @ ORE,2022-10-22T19:30:00+00:00,2022-10-22T12:30:00-07:00,2022-10-22,12:30,True,8,home,26,UCLA Bruins,UCLA,45,30,W,True,Final,False,Autzen Stadium,Eugene,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2022&seasontype=2
Oregon State Beavers,oregon-state,college-football,2022,2,Regular Season,401404020,Colorado Buffaloes at Oregon State Beavers,COLO @ ORST,2022-10-23T00:00:00+00:00,2022-10-22T17:00:00-07:00,2022-10-22,17:00,True,8,home,38,Colorado Buffaloes,COLO,42,9,W,True,Final,False,Reser Stadium,Corvallis,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2022&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2022,2,Regular Season,401437801,Seattle Seahawks at Los Angeles Chargers,SEA @ LAC,2022-10-23T20:25:00+00:00,2022-10-23T13:25:00-07:00,2022-10-23,13:25,True,7,away,24,Los Angeles Chargers,LAC,37,23,W,True,Final,False,SoFi Stadium,Inglewood,CA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2022&seasontype=2
Oregon Ducks,oregon,college-football,2022,2,Regular Season,401404024,Oregon Ducks at California Golden Bears,ORE @ CAL,2022-10-29T19:30:00+00:00,2022-10-29T12:30:00-07:00,2022-10-29,12:30,True,9,away,25,California Golden Bears,CAL,42,24,W,True,Final,False,California Memorial Stadium,Berkeley,CA,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2022&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2022,2,Regular Season,401437816,New York Giants at Seattle Seahawks,NYG @ SEA,2022-10-30T20:25:00+00:00,2022-10-30T13:25:00-07:00,2022-10-30,13:25,True,8,home,19,New York Giants,NYG,27,13,W,True,Final,False,Lumen Field,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2022&seasontype=2
Oregon State Beavers,oregon-state,college-football,2022,2,Regular Season,401404031,Oregon State Beavers at Washington Huskies,ORST @ WASH,2022-11-05T02:30:00+00:00,2022-11-04T19:30:00-07:00,2022-11-04,19:30,True,10,away,264,Washington Huskies,WASH,21,24,L,True,Final,False,Husky Stadium,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2022&seasontype=2
Oregon Ducks,oregon,college-football,2022,2,Regular Season,401404030,Oregon Ducks at Colorado Buffaloes,ORE @ COLO,2022-11-05T19:30:00+00:00,2022-11-05T12:30:00-07:00,2022-11-05,12:30,True,10,away,38,Colorado Buffaloes,COLO,49,10,W,True,Final,False,Folsom Field,Boulder,CO,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2022&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2022,2,Regular Season,401437828,Seattle Seahawks at Arizona Cardinals,SEA @ ARI,2022-11-06T21:05:00+00:00,2022-11-06T13:05:00-08:00,2022-11-06,13:05,True,9,away,22,Arizona Cardinals,ARI,31,21,W,True,Final,False,State Farm Stadium,Glendale,AZ,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2022&seasontype=2
Oregon Ducks,oregon,college-football,2022,2,Regular Season,401404037,Washington Huskies at Oregon Ducks,WASH @ ORE,2022-11-13T00:00:00+00:00,2022-11-12T16:00:00-08:00,2022-11-12,16:00,True,11,home,264,Washington Huskies,WASH,34,37,L,True,Final,False,Autzen Stadium,Eugene,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2022&seasontype=2
