team,team_slug,league,football_season,season_type,season_type_name,event_id,event_name,short_name,game_datetime_utc,game_datetime_pacific,game_date_pacific,kickoff_time_pacific,time_valid,week,home_away,opponent_id,opponent,opponent_abbreviation,team_score,opponent_score,result,completed,status,neutral_site,venue,venue_city,venue_state,broadcasts,notes,source_url
Oregon Ducks,oregon,college-football,2023,2,Regular Season,401524015,Colorado Buffaloes at Oregon Ducks,COLO @ ORE,2023-09-23T19:30:00+00:00,2023-09-23T12:30:00-07:00,2023-09-23,12:30,True,4,home,38,Colorado Buffaloes,COLO,42,6,W,True,Final,False,Autzen Stadium,Eugene,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2023&seasontype=2
Oregon State Beavers,oregon-state,college-football,2023,2,Regular Season,401524019,Oregon State Beavers at Washington State Cougars,ORST @ WSU,2023-09-23T23:00:00+00:00,2023-09-23T16:00:00-07:00,2023-09-23,16:00,True,4,away,265,Washington State Cougars,WSU,35,38,L,True,Final,False,Martin Stadium,Pullman,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2023&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2023,2,Regular Season,401547432,Carolina Panthers at Seattle Seahawks,CAR @ SEA,2023-09-24T20:05:00+00:00,2023-09-24T13:05:00-07:00,2023-09-24,13:05,True,3,home,29,Carolina Panthers,CAR,37,27,W,True,Final,False,Lumen Field,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2023&seasontype=2
Oregon State Beavers,oregon-state,college-football,2023,2,Regular Season,401524020,Utah Utes at Oregon State Beavers,UTAH @ ORST,2023-09-30T01:00:00+00:00,2023-09-29T18:00:00-07:00,2023-09-29,18:00,True,5,home,254,Utah Utes,UTAH,21,7,W,True,Final,False,Reser Stadium,Corvallis,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2023&seasontype=2
Oregon Ducks,oregon,college-football,2023,2,Regular Season,401524024,Oregon Ducks at Stanford Cardinal,ORE @ STAN,2023-09-30T22:30:00+00:00,2023-09-30T15:30:00-07:00,2023-09-30,15:30,True,5,away,24,Stanford Cardinal,STAN,42,6,W,True,Final,False,Stanford Stadium,Stanford,CA,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2023&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2023,2,Regular Season,401547456,Seattle Seahawks at New York Giants,SEA @ NYG,2023-10-03T00:15:00+00:00,2023-10-02T17:15:00-07:00,2023-10-02,17:15,True,4,away,19,New York Giants,NYG,24,3,W,True,Final,False,MetLife Stadium,East Rutherford,NJ,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2023&seasontype=2
Oregon State Beavers,oregon-state,college-football,2023,2,Regular Season,401524027,Oregon State Beavers at California Golden Bears,ORST @ CAL,2023-10-08T02:00:00+00:00,2023-10-07T19:00:00-07:00,2023-10-07,19:00,True,6,away,25,California Golden Bears,CAL,52,40,W,True,Final,False,California Memorial Stadium,Berkeley,CA,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2023&seasontype=2
Oregon Ducks,oregon,college-football,2023,2,Regular Season,401524034,Oregon Ducks at Washington Huskies,ORE @ WASH,2023-10-14T19:30:00+00:00,2023-10-14T12:30:00-07:00,2023-10-14,12:30,True,7,away,264,Washington Huskies,WASH,33,36,L,True,Final,False,Husky Stadium,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2023&seasontype=2
Oregon State Beavers,oregon-state,college-football,2023,2,Regular Season,401524032,UCLA Bruins at Oregon State Beavers,UCLA @ ORST,2023-10-15T00:00:00+00:00,2023-10-14T17:00:00-07:00,2023-10-14,17:00,True,7,home,26,UCLA Bruins,UCLA,36,24,W,True,Final,False,Reser Stadium,Corvallis,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2023&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2023,2,Regular Season,401547471,Seattle Seahawks at Cincinnati Bengals,SEA @ CIN,2023-10-15T17:00:00+00:00,2023-10-15T10:00:00-07:00,2023-10-15,10:00,True,6,away,4,Cincinnati Bengals,CIN,13,17,L,True,Final,False,Paycor Stadium,Cincinnati,OH,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2023&seasontype=2
Oregon Ducks,oregon,college-football,2023,2,Regular Season,401524035,Washington State Cougars at Oregon Ducks,WSU @ ORE,2023-10-21T19:30:00+00:00,2023-10-21T12:30:00-07:00,2023-10-21,12:30,True,8,home,265,Washington State Cougars,WSU,38,24,W,True,Final,False,Autzen Stadium,Eugene,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2023&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2023,2,Regular Season,401547493,Arizona Cardinals at Seattle Seahawks,ARI @ SEA,2023-10-22T20:05:00+00:00,2023-10-22T13:05:00-07:00,2023-10-22,13:05,True,7,home,22,Arizona Cardinals,ARI,20,10,W,True,Final,False,Lumen Field,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2023&seasontype=2
Oregon Ducks,oregon,college-football,2023,2,Regular Season,401524044,Oregon Ducks at Utah Utes,ORE @ UTAH,2023-10-28T19:30:00+00:00,2023-10-28T12:30:00-07:00,2023-10-28,12:30,True,9,away,254,Utah Utes,UTAH,35,6,W,True,Final,False,Rice-Eccles Stadium,Salt Lake City,UT,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2023&seasontype=2
Oregon State Beavers,oregon-state,college-football,2023,2,Regular Season,401524039,Oregon State Beavers at Arizona Wildcats,ORST @ ARIZ,2023-10-29T02:30:00+00:00,2023-10-28T19:30:00-07:00,2023-10-28,19:30,True,9,away,12,Arizona Wildcats,ARIZ,24,27,L,True,Final,False,Casino Del Sol Stadium,Tucson,AZ,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2023&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2023,2,Regular Season,401547509,Cleveland Browns at Seattle Seahawks,CLE @ SEA,2023-10-29T20:05:00+00:00,2023-10-29T13:05:00-07:00,2023-10-29,13:05,True,8,home,5,Cleveland Browns,CLE,24,20,W,True,Final,False,Lumen Field,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2023&seasontype=2
Oregon Ducks,oregon,college-football,2023,2,Regular Season,401524047,California Golden Bears at Oregon Ducks,CAL @ ORE,2023-11-04T21:30:00+00:00,2023-11-04T14:30:00-07:00,2023-11-04,14:30,True,10,home,25,California Golden Bears,CAL,63,19,W,True,Final,False,Autzen Stadium,Eugene,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2023&seasontype=2
Oregon State Beavers,oregon-state,college-football,2023,2,Regular Season,401524046,Oregon State Beavers at Colorado Buffaloes,ORST @ COLO,2023-11-05T02:00:00+00:00,2023-11-04T19:00:00-07:00,2023-11-04,19:00,True,10,away,38,Colorado Buffaloes,COLO,26,19,W,True,Final,False,Folsom Field,Boulder,CO,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2023&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2023,2,Regular Season,401547513,Seattle Seahawks at Baltimore Ravens,SEA @ BAL,2023-11-05T18:00:00+00:00,2023-11-05T10:00:00-08:00,2023-11-05,10:00,True,9,away,33,Baltimore Ravens,BAL,3,37,L,True,Final,False,M&T Bank Stadium,Baltimore,MD,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2023&seasontype=2
Oregon State Beavers,oregon-state,college-football,2023,2,Regular Season,401524054,Stanford Cardinal at Oregon State Beavers,STAN @ ORST,2023-11-11T22:30:00+00:00,2023-11-11T14:30:00-08:00,2023-11-11,14:30,True,11,home,24,Stanford Cardinal,STAN,62,17,W,True,Final,False,Reser Stadium,Corvallis,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2023&seasontype=2
Oregon Ducks,oregon,college-football,2023,2,Regular Season,401524053,USC Trojans at Oregon Ducks,USC @ ORE,2023-11-12T03:30:00+00:00,2023-11-11T19:30:00-08:00,2023-11-11,19:30,True,11,home,30,USC Trojans,USC,36,27,W,True,Final,False,Autzen Stadium,Eugene,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2023&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2023,2,Regular Season,401547535,Washington Commanders at Seattle Seahawks,WSH @ SEA,2023-11-12T21:25:00+00:00,2023-11-12T13:25:00-08:00,2023-11-12,13:25,True,10,home,28,Washington Commanders,WSH,29,26,W,True,Final,False,Lumen Field,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2023&seasontype=2
Oregon Ducks,oregon,college-football,2023,2,Regular Season,401524059,Oregon Ducks at Arizona State Sun Devils,ORE @ ASU,2023-11-18T21:00:00+00:00,2023-11-18T13:00:00-08:00,2023-11-18,13:00,True,12,away,9,Arizona State Sun Devils,ASU,49,13,W,True,Final,False,Mountain America Stadium,Tempe,AZ,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2023&seasontype=2
Oregon State Beavers,oregon-state,college-football,2023,2,Regular Season,401524060,Washington Huskies at Oregon State Beavers,WASH @ ORST,2023-11-19T00:30:00+00:00,2023-11-18T16:30:00-08:00,2023-11-18,16:30,True,12,home,264,Washington Huskies,WASH,20,22,L,True,Final,False,Reser Stadium,Corvallis,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2023&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2023,2,Regular Season,401547544,Seattle Seahawks at Los Angeles Rams,SEA @ LAR,2023-11-19T21:25:00+00:00,2023-11-19T13:25:00-08:00,2023-11-19,13:25,True,11,away,14,Los Angeles Rams,LAR,16,17,L,True,Final,False,SoFi Stadium,Inglewood,CA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2023&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2023,2,Regular Season,401547553,San Francisco 49ers at Seattle Seahawks,SF @ SEA,2023-11-24T01:20:00+00:00,2023-11-23T17:20:00-08:00,2023-11-23,17:20,True,12,home,25,San Francisco 49ers,SF,13,31,L,True,Final,False,Lumen Field,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2023&seasontype=2
Oregon Ducks,oregon,college-football,2023,2,Regular Season,401524063,Oregon State Beavers at Oregon Ducks,ORST @ ORE,2023-11-25T01:30:00+00:00,2023-11-24T17:30:00-08:00,2023-11-24,17:30,True,13,home,204,Oregon State Beavers,ORST,31,7,W,True,Final,False,Autzen Stadium,Eugene,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2023&seasontype=2
Oregon State Beavers,oregon-state,college-football,2023,2,Regular Season,401524063,Oregon State Beavers at Oregon Ducks,ORST @ ORE,2023-11-25T01:30:00+00:00,2023-11-24T17:30:00-08:00,2023-11-24,17:30,True,13,away,2483,Oregon Ducks,ORE,7,31,L,True,Final,False,Autzen Stadium,Eugene,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2023&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2023,2,Regular Season,401547566,Seattle Seahawks at Dallas Cowboys,SEA @ DAL,2023-12-01T01:15:00+00:00,2023-11-30T17:15:00-08:00,2023-11-30,17:15,True,13,away,6,Dallas Cowboys,DAL,35,41,L,True,Final,False,AT&T Stadium,Arlington,TX,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2023&seasontype=2
Oregon Ducks,oregon,college-football,2023,2,Regular Season,401539475,Oregon Ducks at Washington Huskies,ORE VS WASH,2023-12-02T01:00:00+00:00,2023-12-01T17:00:00-08:00,2023-12-01,17:00,True,14,away,264,Washington Huskies,WASH,31,34,L,True,Final,True,Allegiant Stadium,Las Vegas,NV,,Pac-12 Championship,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2023&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2023,2,Regular Season,401547589,Seattle Seahawks at San Francisco 49ers,SEA @ SF,2023-12-10T21:05:00+00:00,2023-12-10T13:05:00-08:00,2023-12-10,13:05,True,14,away,25,San Francisco 49ers,SF,16,28,L,True,Final,False,Levi's Stadium,Santa Clara,CA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2023&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2023,2,Regular Season,401547601,Philadelphia Eagles at Seattle Seahawks,PHI @ SEA,2023-12-19T01:15:00+00:00,2023-12-18T17:15:00-08:00,2023-12-18,17:15,True,15,home,21,Philadelphia Eagles,PHI,20,17,W,True,Final,False,Lumen Field,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2023&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2023,2,Regular Season,401547614,Seattle Seahawks at Tennessee Titans,SEA @ TEN,2023-12-24T18:00:00+00:00,2023-12-24T10:00:00-08:00,2023-12-24,10:00,True,16,away,10,Tennessee Titans,TEN,20,17,W,True,Final,False,Nissan Stadium,Nashville,TN,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2023&seasontype=2
Oregon State Beavers,oregon-state,college-football,2023,3,Postseason,401551798,Oregon State Beavers at Notre Dame Fighting Irish,ORST VS ND,2023-12-29T19:00:00+00:00,2023-12-29T11:00:00-08:00,2023-12-29,11:00,True,1,away,87,Notre Dame Fighting Irish,ND,8,40,L,True,Final,True,Sun Bowl,El Paso,TX,,Tony the Tiger Sun Bowl,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2023&seasontype=3
Seattle Seahawks,seattle-seahawks,nfl,2023,2,Regular Season,401547636,Pittsburgh Steelers at Seattle Seahawks,PIT @ SEA,2023-12-31T21:05:00+00:00,2023-12-31T13:05:00-08:00,2023-12-31,13:05,True,17,home,23,Pittsburgh Steelers,PIT,23,30,L,True,Final,False,Lumen Field,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2023&seasontype=2
Oregon Ducks,oregon,college-football,2023,3,Postseason,401551782,Liberty Flames at Oregon Ducks,LIB VS ORE,2024-01-01T18:00:00+00:00,2024-01-01T10:00:00-08:00,2024-01-01,10:00,True,1,home,2335,Liberty Flames,LIB,45,6,W,True,Final,True,State Farm Stadium,Glendale,AZ,,Vrbo Fiesta Bowl,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2023&seasontype=3
Seattle Seahawks,seattle-seahawks,nfl,2023,2,Regular Season,401547638,Seattle Seahawks at Arizona Cardinals,SEA @ ARI,2024-01-07T21:25:00+00:00,2024-01-07T13:25:00-08:00,2024-01-07,13:25,True,18,away,22,Arizona Cardinals,ARI,21,20,W,True,Final,False,State Farm Stadium,Glendale,AZ,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2023&seasontype=2
Oregon State Beavers,oregon-state,college-football,2024,2,Regular Season,401643704,Idaho State Bengals at Oregon State Beavers,IDST @ ORST,2024-08-31T22:30:00+00:00,2024-08-31T15:30:00-07:00,2024-08-31,15:30,True,1,home,304,Idaho State Bengals,IDST,38,15,W,True,Final,False,Reser Stadium,Corvallis,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2024&seasontype=2
Oregon Ducks,oregon,college-football,2024,2,Regular Season,401628456,Idaho Vandals at Oregon Ducks,IDHO @ ORE,2024-08-31T23:30:00+00:00,2024-08-31T16:30:00-07:00,2024-08-31,16:30,True,1,home,70,Idaho Vandals,IDHO,24,14,W,True,Final,False,Autzen Stadium,Eugene,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2024&seasontype=2
Oregon Ducks,oregon,college-football,2024,2,Regular Season,401628469,Boise State Broncos at Oregon Ducks,BOIS @ ORE,2024-09-08T02:00:00+00:00,2024-09-07T19:00:00-07:00,2024-09-07,19:00,True,2,home,68,Boise State Broncos,BOIS,37,34,W,True,Final,False,Autzen Stadium,Eugene,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2024&seasontype=2
Oregon State Beavers,oregon-state,college-football,2024,2,Regular Season,401643709,Oregon State Beavers at San Diego State Aztecs,ORST @ SDSU,2024-09-08T02:30:00+00:00,2024-09-07T19:30:00-07:00,2024-09-07,19:30,True,2,away,21,San Diego State Aztecs,SDSU,21,0,W,True,Final,False,Snapdragon Stadium,San Diego,CA,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2024&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2024,2,Regular Season,401671664,Denver Broncos at Seattle Seahawks,DEN @ SEA,2024-09-08T20:05:00+00:00,2024-09-08T13:05:00-07:00,2024-09-08,13:05,True,1,home,7,Denver Broncos,DEN,26,20,W,True,Final,False,Lumen Field,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2024&seasontype=2
Oregon Ducks,oregon,college-football,2024,2,Regular Season,401628483,Oregon Ducks at Oregon State Beavers,ORE @ ORST,2024-09-14T19:30:00+00:00,2024-09-14T12:30:00-07:00,2024-09-14,12:30,True,3,away,204,Oregon State Beavers,ORST,49,14,W,True,Final,False,Reser Stadium,Corvallis,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2024&seasontype=2
Oregon State Beavers,oregon-state,college-football,2024,2,Regular Season,401628483,Oregon Ducks at Oregon State Beavers,ORE @ ORST,2024-09-14T19:30:00+00:00,2024-09-14T12:30:00-07:00,2024-09-14,12:30,True,3,home,2483,Oregon Ducks,ORE,14,49,L,True,Final,False,Reser Stadium,Corvallis,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2024&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2024,2,Regular Season,401671702,Seattle Seahawks at New England Patriots,SEA @ NE,2024-09-15T17:00:00+00:00,2024-09-15T10:00:00-07:00,2024-09-15,10:00,True,2,away,17,New England Patriots,NE,23,20,W,True,Final,False,Gillette Stadium,Foxborough,MA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2024&seasontype=2
Oregon State Beavers,oregon-state,college-football,2024,2,Regular Season,401643717,Purdue Boilermakers at Oregon State Beavers,PUR @ ORST,2024-09-22T00:30:00+00:00,2024-09-21T17:30:00-07:00,2024-09-21,17:30,True,4,home,2509,Purdue Boilermakers,PUR,38,21,W,True,Final,False,Reser Stadium,Corvallis,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2024&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2024,2,Regular Season,401671662,Miami Dolphins at Seattle Seahawks,MIA @ SEA,2024-09-22T20:05:00+00:00,2024-09-22T13:05:00-07:00,2024-09-22,13:05,True,3,home,15,Miami Dolphins,MIA,24,3,W,True,Final,False,Lumen Field,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2024&seasontype=2
Oregon Ducks,oregon,college-football,2024,2,Regular Season,401628500,Oregon Ducks at UCLA Bruins,ORE @ UCLA,2024-09-29T03:00:00+00:00,2024-09-28T20:00:00-07:00,2024-09-28,20:00,True,5,away,26,UCLA Bruins,UCLA,34,13,W,True,Final,False,Rose Bowl,Pasadena,CA,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2024&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2024,2,Regular Season,401671491,Seattle Seahawks at Detroit Lions,SEA @ DET,2024-10-01T00:15:00+00:00,2024-09-30T17:15:00-07:00,2024-09-30,17:15,True,4,away,8,Detroit Lions,DET,29,42,L,True,Final,False,Ford Field,Detroit,MI,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2024&seasontype=2
Oregon Ducks,oregon,college-football,2024,2,Regular Season,401628506,Michigan State Spartans at Oregon Ducks,MSU @ ORE,2024-10-05T01:00:00+00:00,2024-10-04T18:00:00-07:00,2024-10-04,18:00,True,6,home,127,Michigan State Spartans,MSU,31,10,W,True,Final,False,Autzen Stadium,Eugene,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2024&seasontype=2
Oregon State Beavers,oregon-state,college-football,2024,2,Regular Season,401643724,Colorado State Rams at Oregon State Beavers,CSU @ ORST,2024-10-05T22:30:00+00:00,2024-10-05T15:30:00-07:00,2024-10-05,15:30,True,6,home,36,Colorado State Rams,CSU,39,31,W,True,Final,False,Reser Stadium,Corvallis,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2024&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2024,2,Regular Season,401671680,New York Giants at Seattle Seahawks,NYG @ SEA,2024-10-06T20:25:00+00:00,2024-10-06T13:25:00-07:00,2024-10-06,13:25,True,5,home,19,New York Giants,NYG,20,29,L,True,Final,False,Lumen Field,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2024&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2024,2,Regular Season,401671819,San Francisco 49ers at Seattle Seahawks,SF @ SEA,2024-10-11T00:15:00+00:00,2024-10-10T17:15:00-07:00,2024-10-10,17:15,True,6,home,25,San Francisco 49ers,SF,24,36,L,True,Final,False,Lumen Field,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2024&seasontype=2
Oregon Ducks,oregon,college-football,2024,2,Regular Season,401628515,Ohio State Buckeyes at Oregon Ducks,OSU @ ORE,2024-10-12T23:30:00+00:00,2024-10-12T16:30:00-07:00,2024-10-12,16:30,True,7,home,194,Ohio State Buckeyes,OSU,32,31,W,True,Final,False,Autzen Stadium,Eugene,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2024&seasontype=2
Oregon State Beavers,oregon-state,college-football,2024,2,Regular Season,401643731,Oregon State Beavers at Nevada Wolf Pack,ORST @ NEV,2024-10-12T23:30:00+00:00,2024-10-12T16:30:00-07:00,2024-10-12,16:30,True,7,away,2440,Nevada Wolf Pack,NEV,37,42,L,True,Final,False,Mackay Stadium,Reno,NV,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2024&seasontype=2
Oregon Ducks,oregon,college-football,2024,2,Regular Season,401628523,Oregon Ducks at Purdue Boilermakers,ORE @ PUR,2024-10-19T00:00:00+00:00,2024-10-18T17:00:00-07:00,2024-10-18,17:00,True,8,away,2509,Purdue Boilermakers,PUR,35,0,W,True,Final,False,Ross-Ade Stadium,West Lafayette,IN,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2024&seasontype=2
Oregon State Beavers,oregon-state,college-football,2024,2,Regular Season,401643739,UNLV Rebels at Oregon State Beavers,UNLV @ ORST,2024-10-20T02:00:00+00:00,2024-10-19T19:00:00-07:00,2024-10-19,19:00,True,8,home,2439,UNLV Rebels,UNLV,25,33,L,True,Final,False,Reser Stadium,Corvallis,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2024&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2024,2,Regular Season,401671730,Seattle Seahawks at Atlanta Falcons,SEA @ ATL,2024-10-20T17:00:00+00:00,2024-10-20T10:00:00-07:00,2024-10-20,10:00,True,7,away,1,Atlanta Falcons,ATL,34,14,W,True,Final,False,Mercedes-Benz Stadium,Atlanta,GA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2024&seasontype=2
Oregon Ducks,oregon,college-football,2024,2,Regular Season,401628525,Illinois Fighting Illini at Oregon Ducks,ILL @ ORE,2024-10-26T19:30:00+00:00,2024-10-26T12:30:00-07:00,2024-10-26,12:30,True,9,home,356,Illinois Fighting Illini,ILL,38,9,W,True,Final,False,Autzen Stadium,Eugene,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2024&seasontype=2
Oregon State Beavers,oregon-state,college-football,2024,2,Regular Season,401635594,Oregon State Beavers at California Golden Bears,ORST @ CAL,2024-10-26T20:00:00+00:00,2024-10-26T13:00:00-07:00,2024-10-26,13:00,True,9,away,25,California Golden Bears,CAL,7,44,L,True,Final,False,California Memorial Stadium,Berkeley,CA,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2024&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2024,2,Regular Season,401671760,Buffalo Bills at Seattle Seahawks,BUF @ SEA,2024-10-27T20:05:00+00:00,2024-10-27T13:05:00-07:00,2024-10-27,13:05,True,8,home,2,Buffalo Bills,BUF,10,31,L,True,Final,False,Lumen Field,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2024&seasontype=2
Oregon Ducks,oregon,college-football,2024,2,Regular Season,401628536,Oregon Ducks at Michigan Wolverines,ORE @ MICH,2024-11-02T19:30:00+00:00,2024-11-02T12:30:00-07:00,2024-11-02,12:30,True,10,away,130,Michigan Wolverines,MICH,38,17,W,True,Final,False,Michigan Stadium,Ann Arbor,MI,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2024&seasontype=2
Seattle Seahawks,seattle-seahawks,nfl,2024,2,Regular Season,401671776,Los Angeles Rams at Seattle Seahawks,LAR @ SEA,2024-11-03T21:25:00+00:00,2024-11-03T13:25:00-08:00,2024-11-03,13:25,True,9,home,14,Los Angeles Rams,LAR,20,26,L,True,Final,False,Lumen Field,Seattle,WA,,,https://site.api.espn.com/apis/site/v2/sports/football/nfl/teams/26/schedule?season=2024&seasontype=2
Oregon State Beavers,oregon-state,college-football,2024,2,Regular Season,401643755,San José State Spartans at Oregon State Beavers,SJSU @ ORST,2024-11-09T20:30:00+00:00,2024-11-09T12:30:00-08:00,2024-11-09,12:30,True,11,home,23,San José State Spartans,SJSU,13,24,L,True,Final,False,Reser Stadium,Corvallis,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2024&seasontype=2
Oregon Ducks,oregon,college-football,2024,2,Regular Season,401628543,Maryland Terrapins at Oregon Ducks,MD @ ORE,2024-11-10T00:00:00+00:00,2024-11-09T16:00:00-08:00,2024-11-09,16:00,True,11,home,120,Maryland Terrapins,MD,39,18,W,True,Final,False,Autzen Stadium,Eugene,OR,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/2483/schedule?season=2024&seasontype=2
Oregon State Beavers,oregon-state,college-football,2024,2,Regular Season,401643757,Oregon State Beavers at Air Force Falcons,ORST @ AFA,2024-11-16T20:30:00+00:00,2024-11-16T12:30:00-08:00,2024-11-16,12:30,True,12,away,2005,Air Force Falcons,AFA,0,28,L,True,Final,False,Falcon Stadium,USAF Academy,CO,,,https://site.api.espn.com/apis/site/v2/sports/football/college-football/teams/204/schedule?season=2024&seasontype=2
